Year, Team, CashPrize 
2021,EDward Gaming, USD 489 500

,DAMWON Gaming, USD 333 750

,Gen.G Esports, USD 178 000


2020,DAMWON Gaming, USD 556 250

,Suning, USD 389 375

,Top Esports, USD 200 250


2019,FunPlus Phoenix, USD 834 375

,G2 Esports, USD 300 375

,Invictus Gaming, USD 155 750


2018,Invictus Gaming, USD 2 418 750

,Fnatic, USD 870 750

,G2 Esports, USD 451 500


2017,Samsung Galaxy, USD 1 723 722

,SK Telecom T1, USD 620 540

,Royal Never Give Up, USD 321 761


2016,SK Telecom T1, USD 2 028 000

,Samsung Galaxy, USD 760 500

,ROX Tigers, USD 380 250


2015,SK Telecom T1, USD 1 000 000
,KOO Tigers, USD 250 000
,Origen, USD 150 000

2014,Samsung White, USD 1 000 000
,Star Horn Royal Club, USD 250 000
,Samsung Blue, USD 150 000

2013,SK Telecom T1 K, USD 1 000 000
,Royal Club, USD 250 000
,NaJin Black Sword, USD 150 000

2012,Taipei Assassins, USD 1 000 000
,Azubu Frost, USD 250 000
,Moscow Five, USD 150 000

2011,Fnatic, USD 50 000
,against All authority, USD 25 000
,Team SoloMid, USD 10 000

